"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAP2",1478.32172628559,2.41258042645244,0.294328140247414,4.79933867439593,1.59190404530869e-06,0.000846494976092897
"LRP2",68.9871842127149,-3.01797564251365,0.425100851114813,-4.74705152253066,2.06403388210777e-06,0.00107515103687589
"FAM41C",15.4831324974155,-4.62921055156505,0.766561932659933,-4.7343996576661,2.19704430459471e-06,0.00112154717660951
"FOXI1",168.611116193241,-3.90299184321513,0.615708257047006,-4.71488210526548,2.4185074219974e-06,0.00121039183213846
"TRIM67",82.1963652368665,2.99890174342703,0.424474078308082,4.70912558758472,2.48781755250453e-06,0.0012211356771178
"C11orf53",101.564832778929,-3.60701121107717,0.557393396098008,-4.67714764711488,2.90892815002519e-06,0.00137151142756059
"PLXNB3",211.869157017778,2.78335619998007,0.381556615057298,4.67389668951818,2.95538036811756e-06,0.00137151142756059
"LINC02242",49.0010162522291,2.39591275797326,0.298216862402314,4.68086461217637,2.85667555560543e-06,0.00137151142756059
"AC018467.1",5.69591908895179,3.0780198474827,0.445864350651749,4.66065484815084,3.15204917116375e-06,0.00141145443938217
"AC008443.3",23.3427384240415,2.55854996556576,0.33415952637397,4.66408958163752,3.09986332044788e-06,0.00141145443938217
"RGS4",178.272830569638,2.74910829786831,0.379009162764092,4.61494990018754,3.9319015281509e-06,0.00170098058651735
"VN1R48P",5.93181275930444,3.10487441301226,0.456030162791547,4.61564735132313,3.91871881857818e-06,0.00170098058651735
"HGD",146.009017254159,2.97512772168014,0.428571799596089,4.60862736078672,4.05336052237548e-06,0.00172429956621853
"AL162574.2",7.81012883874718,-4.29648259753823,0.718868580456999,-4.58565402238417,4.52567497680753e-06,0.00189366111652517
"CHAT",31.9134479945703,-3.16535077727915,0.474192310682309,-4.56639791177436,4.96176507568957e-06,0.00201022367923652
"CCDC74BP1",58.2583636509499,-3.6637921868625,0.583026419857816,-4.56890476337612,4.90279485045296e-06,0.00201022367923652
"CSMD3",47.4666628057506,3.85454987004421,0.626509294658946,4.55627696888064,5.2068270033075e-06,0.00207654769425657
"AL807742.1",6.55071785204427,3.09310887588576,0.460917253552314,4.54118143713228,5.59398631472881e-06,0.00219662933380213
"CNKSR2",276.461842351942,2.17600067179405,0.260528402899263,4.5139058110634,6.36444912460593e-06,0.00246130605237033
"TRIM43",17.8607955343755,-3.49660471496163,0.554694344557039,-4.50086563791333,6.76772781525642e-06,0.00257820126502395
"SLC22A4",134.334623206544,2.2429252148763,0.278249778614842,4.46694053473724,7.93461736082099e-06,0.00297828196349404
"SFRP2",9926.6510508166,-3.44956494391663,0.549524158024353,-4.45761102245859,8.28781153278424e-06,0.00301869186137567
"CALHM3",27.031151283621,-3.71693083652427,0.609888182866854,-4.45480157322119,8.39708204660996e-06,0.00301869186137567
"LINC02228",38.0062664666091,-3.31674167503989,0.519963872198705,-4.45558201042581,8.36659043138622e-06,0.00301869186137567
"ELF3",864.402429989184,-2.89792839555041,0.42829246891009,-4.43138400350635,9.36301767687119e-06,0.00319453987382843
"VWC2",335.236521197878,3.14923016238576,0.485062060074311,4.43083543177237,9.38687080932189e-06,0.00319453987382843
"LINC00408",9.38835215687197,-4.64266046544059,0.821802046864211,-4.43252785672665,9.31346649467323e-06,0.00319453987382843
"AC010307.4",9.03168809313731,2.62376985459327,0.365858891409454,4.43824078823879,9.06971241530984e-06,0.00319453987382843
"AL353572.2",34.7067935228563,-3.24859879310427,0.507957526345743,-4.42674569521734,9.56654044480426e-06,0.00321284708306821
"CLDN6",35.8281311245033,-2.96695760928281,0.445233234967635,-4.41781397883693,9.97041728793478e-06,0.00323669778624688
"MTCO3P12",86.7341360886123,2.42983117897885,0.32372670269128,4.41678479746045,1.00179879765516e-05,0.00323669778624688
"AC005532.1",16.3871403014491,2.31135679189537,0.296638099844002,4.42072947670914,9.83682599744774e-06,0.00323669778624688
"AC092445.1",5.96465145969213,-3.98655772033236,0.67876024599455,-4.40001861917579,1.08241590369379e-05,0.00345344794073504
"SHISA6",12.0352231010204,2.71470668795134,0.391335749007681,4.38167658410804,1.17769538009468e-05,0.00371104899772057
"AL162713.1",5.72734292363074,3.12251921689985,0.488251047648343,4.34718824900213,1.37893862873507e-05,0.00424048548913663
"AL357127.2",9.62135715519635,3.41466708717615,0.555346175975742,4.34803946013238,1.37359894484797e-05,0.00424048548913663
"GSC",165.548902941231,-2.99483147844255,0.461342279586451,-4.32397282172083,1.53244183751242e-05,0.00460607097439339
"AL772337.2",18.0615848573663,-4.61084169150065,0.835115891884472,-4.3237612007989,1.53391330835072e-05,0.00460607097439339
"FOXD1",18.4760497033974,-3.47452811679188,0.574502075807636,-4.3072570509222,1.65291485252675e-05,0.00490569752277822
"PLEKHG7",30.9821517765875,-4.05960909209561,0.711004496841821,-4.30322045174953,1.68333205176267e-05,0.00493854796427476
