"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PAICS",6619.50527637482,-0.164584738215523,0.114761207156232,0,1,1
"KDR",944.861410862362,-0.614406426713099,0.243153972499348,0,1,1
"PPAT",650.57355507917,-0.308834504251504,0.114086472184935,0,1,1
"TUBGCP6",4516.15694404835,0.249948730846756,0.0853251322333189,0,1,1
"ADM2",675.761396286586,-1.41910264844381,0.317974972772026,-1.31803658882389,0.187491399878391,1
"DGCR6L",3731.61225459182,0.464660612232991,0.163951265447447,0,1,1
"DGCR8",1942.87237798737,0.109322825211272,0.0806837839368581,0,1,1
"ASPHD2",125.754861165992,-0.00436385811094887,0.139145346874745,0,1,1
"VPREB3",107.370910076723,-0.240950806142166,0.399469738851018,0,1,1
"SDF2L1",1482.48072379601,0.118532860999438,0.19322507510219,0,1,1
"GAL3ST1",6.78604481075479,0.301158582001875,0.308108825903201,0,1,1
"YWHAH",5117.55779396557,-0.0794717693081404,0.0804374649506916,0,1,1
"RFPL2",5.16964842791799,1.62057681184346,0.385216510006222,1.61098186532408,0.107183675105238,1
"C22orf24",194.260172546189,0.247192061199475,0.252668743782748,0,1,1
"POM121L9P",60.4753249686539,0.455609995924978,0.267836523953868,0,1,1
"GNAZ",112.175732857863,-0.00133100081339048,0.245225296935747,0,1,1
"ADORA2A",49.397506880396,0.193596756267592,0.260812701422546,0,1,1
"ATF4",18017.2842862068,-0.0568137606713211,0.0968868968595603,0,1,1
"A4GALT",1104.93927634007,-1.1051566916521,0.289083498397072,-0.363758887086869,0.716038065731927,1
"CDC42EP1",1234.38344096096,-0.923610403305266,0.315967253022098,0,1,1
"APOL3",2087.46306113371,-0.0987470097859921,0.152706555560084,0,1,1
"MCHR1",157.07551089669,-0.0512078589680822,0.380905925402556,0,1,1
"TPST2",1351.98688950992,0.99554709989698,0.161171581528262,0,1,1
"BAIAP2L2",126.404060542092,0.181870327924777,0.116966125382715,0,1,1
"MPST",2004.93665979868,0.282598751029029,0.173042791729223,0,1,1
"TST",921.265427945099,0.406404265002136,0.182925145938561,0,1,1
"IGLL1",858.246246017216,0.495498607857416,0.445149789264161,0,1,1
"APOL2",3086.67036546587,0.0535663173337934,0.0994467628174644,0,1,1
"RAC2",19797.7753642698,0.120124886008288,0.255536406277616,0,1,1
"LIF",158.113023576212,-0.241648538896912,0.243797445064318,0,1,1
"C22orf23",145.495511461278,-0.891409719658514,0.29762607322622,0,1,1
"APOBEC3A",16.9097720411193,-0.883656625691038,0.361087013281262,0,1,1
"APOBEC3F",1229.3276607829,0.11915058772172,0.114933787017923,0,1,1
"RIBC2",135.657539627038,0.258182316886816,0.174093963824543,0,1,1
"KRT17",14280.7834094368,-0.884232706085664,0.389107008563782,0,1,1
"TBC1D27P",26.3404986930169,0.239177019852682,0.425005577379284,0,1,1
"EMC4",1888.79654861505,-0.0807125238864212,0.107016923301092,0,1,1
"RNF112",28.4960718114394,-0.10059943399972,0.238210279132742,0,1,1
"SPECC1",606.102646740656,0.15901533014309,0.205470718969015,0,1,1
"CPA4",78.4445426060099,0.29343008472406,0.346657607373728,0,1,1
"DOCK4",483.576345760877,-0.754703533857598,0.288405882304884,0,1,1
"POT1",1456.74538126543,0.138395953321745,0.0753173863054076,0,1,1
"ATP6V1F",4234.92379474345,0.477749281273939,0.16749682669991,0,1,1
"LSM8",2946.48717253103,0.018482820533972,0.0612261431197967,0,1,1
"CDHR3",77.3592123785394,0.909689382554142,0.215763401097606,0,1,1
"PRKRIP1",2721.66481883812,0.313437992730018,0.0746980615707042,0,1,1
"VGF",23.1176279572859,-0.100871619165799,0.294060655528482,0,1,1
"PODXL",1732.15922976958,-0.547722117530209,0.200044187826418,0,1,1
"STRIP2",76.1068232029441,-0.000291152446482132,0.161307996635719,0,1,1
"IFT22",1388.320526314,-0.0485077880059644,0.103720998750859,0,1,1
"MKLN1",1452.22491326457,0.116289425741697,0.114676707735147,0,1,1
"DNAJB9",1193.0485046727,-0.178865444264414,0.127158553054717,0,1,1
"FLNC",462.095088066351,0.183250355101791,0.352131447653294,0,1,1
"LRRC4",1061.61730668924,1.35317948435117,0.298112572725845,1.18471851462624,0.236128759612988,1
"CALU",3175.34561223031,-0.444508816051594,0.139390019909967,0,1,1
"CCDC136",1176.8864638508,1.25959433964126,0.248716691663007,1.04373509435784,0.296607968251277,1
"SMO",2210.51826204549,-0.218591505930691,0.191197112772645,0,1,1
"IRF5",622.287576212782,-0.0695418031590501,0.215720039561365,0,1,1
"LRRC17",588.313177121707,1.70971031642611,0.345562959503295,2.05378006209413,0.0399969835050252,1
"KLHDC10",2498.97317188964,0.0422685630025003,0.0907070671685708,0,1,1
"NDUFA5",3796.26433243814,0.266485804436085,0.0712870535680674,0,1,1
"MRPS12",2072.37924897857,0.159165364729381,0.192528306769708,0,1,1
"MYO1B",1569.8556238816,-0.566997927464939,0.184001670581381,0,1,1
"HOXD3",19.4249337226865,-0.436957668068235,0.225096745435489,0,1,1
"MTX2",1303.25197357026,0.0695678572652917,0.113710622766101,0,1,1
"PDE11A",36.7911817823927,-0.0476704268314291,0.329190302706043,0,1,1
"CHN1",230.729219680328,-0.368545539135318,0.225181949934297,0,1,1
"GAD1",39.9914451446595,-1.29683421771304,0.338354671661661,-0.877287185825694,0.380330670567777,1
"EIF2S2P4",10.7036176308583,0.515290032364424,0.213324637435415,0,1,1
"OSGEPL1",456.336142137109,0.11398932030637,0.0664066715855731,0,1,1
"ORMDL1",2256.74610793032,-0.0311577483160644,0.0752605730844529,0,1,1
"HAT1",2437.96906482537,-0.10887094673253,0.0919846460612618,0,1,1
"HOXD9",285.41508100072,-0.227890218937397,0.250553965959693,0,1,1
"HOXD10",64.9465692235636,-1.1012812191925,0.343515170612544,-0.294837689444403,0.768117873510725,1
"HOXD13",0.985262275675619,-1.93831643433476,1.36682503700764,-0.686493449365689,0.492401993718367,1
"HERC2",4408.63950625446,0.0850739251443289,0.113312224234249,0,1,1
"SNRPN",390.14487899442,0.112177400154459,0.165553001105664,0,1,1
"PSMG2",3461.82467439464,0.0204561281634436,0.0786571984794881,0,1,1
"TWSG1",950.381132656754,-0.219415661865402,0.157916293443544,0,1,1
"ARHGAP22",887.965616833193,-0.522196772092405,0.193478617533858,0,1,1
"WDFY4",1257.00056851007,0.578031272152723,0.197415806654056,0,1,1
"EIF2AK4",3063.48365181984,-0.247601005534612,0.107650043892893,0,1,1
"MYO5C",1371.20532856921,-0.677219050989831,0.25057579436877,0,1,1
"CGNL1",1949.29214694879,-0.508324065042108,0.251479413896128,0,1,1
"TMOD2",827.066364461861,0.0360217468426973,0.150179875231829,0,1,1
"TTBK2",667.802039125851,0.163186216882901,0.145753570622984,0,1,1
"CCDC32",376.03096273494,-0.0550297060347788,0.109898074445736,0,1,1
"INO80",2276.33325327693,-0.138949674931347,0.07994582680508,0,1,1
"ICE2",2430.75752363426,0.0597149209920627,0.0616988464925396,0,1,1
"DLL4",1587.52178771249,0.0906935306576566,0.161730019818937,0,1,1
"ALDH1A2",270.045531359494,-0.648699017652862,0.362324929544507,0,1,1
"MINDY2",1087.3033400952,-0.072710110012582,0.143278536217505,0,1,1
"IVD",3344.8981147285,-0.363346178096876,0.129824250312227,0,1,1
"KNSTRN",1299.95816233306,-0.112271662905958,0.18115349620281,0,1,1
"DUT",5870.76627860773,-0.0327085731478214,0.163510129447068,0,1,1
"CHAC1",160.518546662735,0.650270636590105,0.235160367827466,0,1,1
"CLN6",819.411562983869,-0.121788092769524,0.131634481776966,0,1,1
"ARPP19",6267.27681627836,-0.234041289114151,0.0713852873110251,0,1,1
"VPS13C",3164.41007150635,-0.0744411278756041,0.149226420268839,0,1,1
"ISLR",7724.64563313984,-0.770615417821115,0.296458716816411,0,1,1
"THAP10",143.143551837699,-0.365782229327522,0.20153045965103,0,1,1
"LOXL1",1014.75316356431,-0.507485466386181,0.168151495919534,0,1,1
"ACKR4",12.9168141497669,0.202880923129257,0.289686781437871,0,1,1
"ANAPC13",2214.35007161295,-0.079618998989445,0.0922987146273148,0,1,1
"MBD4",2370.18125877069,-0.0241723740270941,0.0618531833330388,0,1,1
"COPB1",5187.63998134407,-0.151899008282096,0.108935616389346,0,1,1
"PSMA1",1305.04128591977,0.0244615512860878,0.187140742479868,0,1,1
"SUMF2",5290.92360294337,0.036113541506724,0.106993063687368,0,1,1
"PALLD",3192.80394558806,0.0610692346025911,0.226136291151259,0,1,1
"SPCS3",4805.96361678813,-0.238447625740876,0.0718085625478953,0,1,1
"SERGEF",1527.91609330288,0.387354050058494,0.188048869779789,0,1,1
"TPH1",50.0414977581665,0.216503155092562,0.148596740900411,0,1,1
"E2F8",510.499994075094,-0.161501436851925,0.294646477570275,0,1,1
"DCTD",3711.59108423691,-0.105948794776731,0.086395923730389,0,1,1
"SOX15",479.984739134687,1.0500212990242,0.254784853220358,0.196327601079697,0.844353759215531,1
"PIMREG",811.447537618198,-0.216587718243178,0.27632212866393,0,1,1
"RPAIN",1544.68356394408,-0.0926646536710976,0.0951000265697083,0,1,1
"USP6",198.312907480507,-0.848264144185338,0.248684112053383,0,1,1
"SHBG",27.8786556412036,0.0700894744171511,0.182740669463826,0,1,1
"PLD2",3148.41464308,0.301982681029185,0.151132408779615,0,1,1
"TXNDC17",1849.42931236526,0.100819786830943,0.161725444141249,0,1,1
"ATP1B2",183.068586716571,-0.398206180234937,0.299142290935187,0,1,1
"FXR2",2584.46910760943,-0.300871987198494,0.0843616489537255,0,1,1
"KIF1C",4674.61847927374,-0.0478465828654157,0.124755034535225,0,1,1
"MPDU1",2905.21026628178,-0.0734450557499578,0.155405406404187,0,1,1
"PHF20L1",2350.82379768878,-0.0469538697109301,0.102372806937659,0,1,1
"LRRC6",242.148713798888,-0.623265152967709,0.178586495207323,0,1,1
"CCNT1",1884.8201032428,-0.274879510773589,0.0930897118037579,0,1,1
"PUS7L",897.261256214785,-0.179511548253935,0.0948536071432164,0,1,1
"KRI1",5297.32468798402,0.0519680806019776,0.104249601127699,0,1,1
"ILF3",24388.6535605375,-0.134979261823967,0.0507890262568157,0,1,1
"SLC44A2",11938.3600882362,-0.300264372351478,0.157702159914092,0,1,1
"AP1M2",1432.17153425746,-0.00286197915465905,0.325362411443629,0,1,1
"CDKN2D",3486.8391356554,-0.118659143426625,0.281547631298363,0,1,1
"MTUS1",3140.49300083091,0.540083784837152,0.265836893373038,0,1,1
"KLK14",20.3234160141843,-0.164719342449883,0.211844520986982,0,1,1
"SIGLEC9",134.429282297005,0.0368421285166861,0.172069726435566,0,1,1
"KLK10",346.786312717909,-1.2815131240974,0.435219667827539,-0.646829968651491,0.517741994264059,1
"KLK8",301.09518614342,-1.39944698406772,0.629783274311082,-0.634261023372957,0.525910488686771,1
"NGDN",2178.93714149,0.0655805530093344,0.0697571027985561,0,1,1
"RIPK3",310.092406604394,-0.24269059024314,0.105789248462333,0,1,1
"ADCY4",500.003520060641,-0.42427019756746,0.17031756798989,0,1,1
"RAB2B",1009.78727668974,0.118725962469997,0.095519548111932,0,1,1
"BCL2L2",1968.2409658727,0.0705639404583338,0.159207899880467,0,1,1
"AJUBA",2653.14905935804,-0.444216747062999,0.21055980498403,0,1,1
"DTD2",90.5067653038817,0.184240218787265,0.233773124809494,0,1,1
"PARP2",1082.0334538808,0.143182479291866,0.0616296511224869,0,1,1
"HEATR5A",405.89037091784,0.113227886697536,0.16302574571553,0,1,1
"FOXA1",38.5009238065371,-2.19787898055105,0.660697601272028,-1.81305180803562,0.0698238310671093,1
"SNX6",2522.28360494779,0.0891366400148643,0.125756092729828,0,1,1
"EAPP",2800.86196434025,0.131448768071429,0.0627353089200389,0,1,1
"EGLN3",532.34215160448,-0.12635703980171,0.249531575418578,0,1,1
"MIS18BP1",1472.57496224637,-0.114456751325934,0.157875717942939,0,1,1
"NRL",329.739567374538,-0.10683079321888,0.151077719186619,0,1,1
"RNASE1",7752.12255173213,0.104640761478352,0.226509809570621,0,1,1
"NEDD8",2426.20656386629,0.232256825080367,0.189050199869532,0,1,1
"DAD1",6349.07044235389,0.15081621783425,0.111039166043654,0,1,1
"TEP1",1898.17217540846,0.218114925305093,0.128583219994502,0,1,1
"EPB41L4A",226.399193827165,0.190946481888739,0.254669397316266,0,1,1
"CDO1",80.0444274942127,-1.30690208982441,0.401653187256245,-0.764097235032298,0.44480929990052,1
"REEP5",5777.6338148436,0.00498094878344624,0.127124550491269,0,1,1
"ITFG1",1886.68032656046,-0.391700942980361,0.144481159919958,0,1,1
"QRICH2",311.939300802357,-0.222050570368881,0.168884010033482,0,1,1
"FOXJ1",141.297947402227,-1.37309193702535,0.43452998277129,-0.858610341790211,0.390555530502835,1
"SEC14L1",3527.07122757761,-0.544278284195827,0.167064713507723,0,1,1
"RHBDF2",1275.66670488348,-0.167716714213654,0.18899827397476,0,1,1
"AANAT",15.6781491393706,0.441476287210376,0.247470444670455,0,1,1
"ARHGEF6",2871.63931857851,0.049656606764225,0.191085948011102,0,1,1
"MAP7D3",840.937294862419,0.0296895488706508,0.0989376520952628,0,1,1
"FGF13",957.925986742601,0.697179606996729,0.360358125299357,0,1,1
"ASH2L",3679.09905422698,-0.0257836563655739,0.070939909426102,0,1,1
"TTI2",623.478006348703,0.00912035514637338,0.108955800118406,0,1,1
"CHRNA10",66.3667873866105,0.493657985428829,0.137003406823095,0,1,1
"CDKN1C",1853.34920200583,-0.598512506236134,0.257503202296782,0,1,1
"SGO1",423.275623217176,-0.063438120797744,0.256878805334678,0,1,1
"RPS4Y1",11733.8532800531,0.34987702966982,0.640101395518707,0,1,1
"CDH15",10.0777622715685,1.23161485808438,0.261434781853017,0.885937427463635,0.375651246318053,1
"KLF16",967.885186583586,-0.0872004385064564,0.136619174999948,0,1,1
"PGAP6",2534.23267363871,-0.035562421725653,0.0971368816294292,0,1,1
"DOHH",1365.19253979039,-0.110477404355514,0.16755313558147,0,1,1
"MAU2",3798.4595470872,-0.0925372041143974,0.0791632259985152,0,1,1
"SHC2",804.703470698978,0.249101877565415,0.271186188940343,0,1,1
"ABHD17A",2784.71327933725,0.167600396357456,0.0889302480398209,0,1,1
"SYT5",31.7026713763601,-0.56066689156315,0.314085882340758,0,1,1
"CBFA2T3",8807.20220184843,0.015206655808719,0.239568000483728,0,1,1
"GAMT",7412.22868764525,0.448348697301308,0.235641293446015,0,1,1
"PUDP",912.766534439984,0.329676080209844,0.123109624167076,0,1,1
"ERMARD",1691.8716817313,0.0903677957820339,0.0759557493680599,0,1,1
"PHF10",4763.2853245707,-0.262942857755912,0.122593567564943,0,1,1
"PRRG3",237.184173475489,0.772237826928201,0.341184596113687,0,1,1
"GALNT8",60.1127957253245,-0.566830982290895,0.328195058755098,0,1,1
"KCNA5",17.2567826331931,0.393932379245996,0.247377204117292,0,1,1
"CRACR2A",570.904850758269,-0.119841850669478,0.220944780770027,0,1,1
"NXNL2",34.3692320237823,-1.22655107272775,0.346536914997369,-0.653757400505136,0.513268115718822,1
"STARD8",204.750357984356,-0.251172968443275,0.165904824174528,0,1,1
"FAM155B",60.8549938206386,0.331342924028857,0.447657318565023,0,1,1
"SAT1",20922.4997232568,-0.309997836501327,0.163069424288853,0,1,1
"GNL3L",1649.24418149156,-0.0306349909404353,0.0889468627001673,0,1,1
"SH3BP4",2233.02526171974,-0.722935058476385,0.258415013543971,0,1,1
"MOSPD2",633.678612795005,-0.000495713457116273,0.141410604380378,0,1,1
"DOCK6",1724.44973739065,-0.273053026810789,0.18841240269608,0,1,1
"ECSIT",2944.87161472363,0.127918017675685,0.136648834480752,0,1,1
"LDLR",534.220852423851,-0.838814673287105,0.19385485657342,0,1,1
"ELOF1",3727.97355756481,0.282637932324617,0.124874727324112,0,1,1
"PRKCSH",18645.2661173462,-0.0165221323029908,0.0885514087670716,0,1,1
"CNN1",144.528132414744,0.0825959584869028,0.317637770054762,0,1,1
"CDC16",4510.04257250446,0.022234559154092,0.0726383197798906,0,1,1
"ZSCAN10",8.75920124016257,-0.0610207098053019,0.339701561032639,0,1,1
"THEM6",1488.42729303015,0.154984236127318,0.145060156715687,0,1,1
"NECTIN2",2945.57894191931,-0.735346508390901,0.221585487550969,0,1,1
"APOE",18152.4524547059,0.945116020084545,0.269512176517144,0,1,1
"TOMM40",3862.18548076168,0.157697196464629,0.131410393400273,0,1,1
"APOC1",940.883394787675,0.620850372939705,0.298343406794786,0,1,1
"GADD45G",1357.22199288706,-0.0999202007418618,0.362772549355015,0,1,1
"LRCH2",57.8387172327566,-0.733303870553149,0.346909623732773,0,1,1
"DPP6",1554.23850131288,0.249555341877268,0.372629570923601,0,1,1
"XPO7",4214.99965360349,-0.0502606314753792,0.0784820784652101,0,1,1
"FAM98C",994.223132938249,0.156537531979388,0.0879114651860052,0,1,1
"SAFB2",5257.62328489099,0.104121625147932,0.052913756707889,0,1,1
"RPL36",60688.8902594673,0.260345382840325,0.222656850219894,0,1,1
"ATP8B3",299.144864781416,0.0343717688278717,0.240117412562028,0,1,1
"KIF1A",663.699758433744,-1.77935472819004,0.465850182346814,-1.67297289498501,0.0943326320878661,1
"GTPBP3",1014.76398748156,-0.0982176469108999,0.079923844782548,0,1,1
"PLVAP",3563.64260473713,-0.140914793633182,0.197048728254818,0,1,1
"BST2",15910.6957954817,0.139158329767926,0.229692365367528,0,1,1
"SLC27A1",1993.14636838391,0.271436800626702,0.192744038390218,0,1,1
"NSUN5",2958.31196239297,0.31773717254591,0.142115605755825,0,1,1
"USHBP1",127.650061097156,-0.086817751557115,0.170548581816478,0,1,1
"COLGALT1",3912.13675730484,-0.0570466967300045,0.0897735696473264,0,1,1
"DDA1",2802.80621741959,0.0278207038177583,0.103211646156241,0,1,1
"MRPL34",2760.07625358441,0.254000174473895,0.134695660675469,0,1,1
"PGLS",4524.43194507308,0.37488636272453,0.182004081330758,0,1,1
"LSM7",4747.58584825102,0.226981732446151,0.198584586552311,0,1,1
"TULP4",1362.78534015318,-0.137277291502114,0.101905657432067,0,1,1
"SNX9",1609.16967417465,-0.0969773919198838,0.148142304897889,0,1,1
"RTN4IP1",378.818389753511,-0.00939699863931906,0.107659391219475,0,1,1
"QRSL1",1049.51768810073,-0.0770273214019966,0.0737818066822728,0,1,1
"MTRES1",982.631099122769,0.255640204093284,0.102826998594926,0,1,1
"RSPH3",576.177334401371,-0.322752678525641,0.148931396599975,0,1,1
"ACSBG2",8.27664491722115,-0.140556923866213,0.240508528656508,0,1,1
"MLLT1",7041.86476420335,0.11622304155087,0.0973995099426368,0,1,1
"AFDN",1476.6974116229,-0.303371910232345,0.201901683024713,0,1,1
"ACTN4",13293.5633534315,-0.403933104874258,0.18144762106616,0,1,1
"STK33",552.045137763947,-0.127061501012985,0.14334408387464,0,1,1
"NDUFA10",5547.69826156403,0.0295314025212095,0.0795875774231407,0,1,1
"EPO",6.00798835348443,0.397196256733363,0.214479098780313,0,1,1
"ARPC1B",52.9943600166748,0.042441880251386,0.117941166242206,0,1,1
"ZSWIM6",780.415323664569,0.0604558496543152,0.140615864666091,0,1,1
"FCHO1",1792.95438581807,0.0417881289919386,0.240655634249762,0,1,1
"UNC13A",11.6639744896979,-0.493196441793558,0.313105694846674,0,1,1
"MAP1S",1669.7838616689,-0.0219786208463618,0.069989847971427,0,1,1
"KLHDC7B",2124.77533290997,0.230410317736004,0.307656293233247,0,1,1
"PXDN",1544.01848453187,-0.77903418323998,0.267067036212732,0,1,1
"SSBP4",2126.43993454655,-0.180954512757095,0.123220677224735,0,1,1
"GDF15",127.593852683326,-1.24853730890442,0.321139391520061,-0.773923459616734,0.438976055561972,1
"PGPEP1",2482.7755305666,0.14032579403784,0.110578392909883,0,1,1
"IQCN",381.148572499759,0.355529682633948,0.19815296719663,0,1,1
"LSM4",8858.64378442452,0.0221212224220385,0.183009823611134,0,1,1
"JUND",8764.64072455383,0.276503227034707,0.187079378122054,0,1,1
"HRC",37.7554160460712,0.0670866625187695,0.216574214774354,0,1,1
"TRPM4",957.696270025806,-0.559302623100506,0.242071338502657,0,1,1
"SULT4A1",292.291302541175,1.34237080664668,0.390119321091479,0.877605358506203,0.380157920315677,1
"ZNF557",583.041635713253,0.134291297382975,0.0594607921047037,0,1,1
"CRB3",206.493344626818,0.0441977108706387,0.351794632264728,0,1,1
"OLFM1",3828.47666723013,0.685855321500433,0.292023079983353,0,1,1
"CAMSAP1",3448.11496352688,0.278875400051268,0.125087199929187,0,1,1
"UBAC1",5381.38216792698,-0.039843209101983,0.129954071516185,0,1,1
"ZBTB46",484.545329829413,-0.0657564213636559,0.172315736068206,0,1,1
"HELZ2",2427.99789954647,0.107192727948108,0.192857447144095,0,1,1
"SAMD10",786.374791419586,0.109252639447429,0.174754722160285,0,1,1
"LSP1",4773.54891165612,0.262418783369284,0.198661240303157,0,1,1
"TNNI2",85.8373984359692,0.153312929888715,0.238696773263975,0,1,1
"H19",582.236072150707,-0.85561335364777,0.27561679464695,0,1,1
"COL5A1",3641.36408523694,-1.07014391000673,0.28886966912018,-0.242821997270853,0.808143294123424,1
"ATXN10",6853.08602375294,-0.00346363906370947,0.0707070765550515,0,1,1
"TUBGCP2",5563.70172889742,-0.0218463952337826,0.108206848170957,0,1,1
"CALY",12.0064023868257,-1.17032243000321,0.401628866146211,-0.424079154562569,0.671508087369022,1
"CYP2E1",127.414881373503,-0.132239361700447,0.174418925148519,0,1,1
"PNPLA7",1175.17868861545,0.453757672283369,0.220873134487708,0,1,1
"PAK4",2428.00657505125,-0.180669414294385,0.0998770370120126,0,1,1
"MNX1",7.05232927283556,-0.306910500488684,0.300001555033159,0,1,1
"ZNF337",149.974149629988,0.163866044465805,0.248200467566798,0,1,1
"CEP85",1007.54642424413,0.091649450456839,0.15112387671435,0,1,1
"TAF4",1090.20504792847,0.0111262120667964,0.0996400771849417,0,1,1
"RBBP8NL",220.296203513564,0.889861931275328,0.468044940921242,0,1,1
"LAMA5",14477.3357900822,-0.542802183043854,0.226860036296018,0,1,1
"OSBPL2",2580.24568246525,-0.0712663613949553,0.0649545794336805,0,1,1
"ADRM1",3882.61550146033,0.181637417111236,0.116441587697575,0,1,1
"EXOSC2",1711.86473227545,0.0760476937708734,0.0859702263584041,0,1,1
"POMT1",2370.4111471511,0.111363156315905,0.104205237598445,0,1,1
"UCK1",3188.38953814235,0.27886138219401,0.104915341791824,0,1,1
"PRRC2B",7177.05252498753,-0.367289815472409,0.221826576367476,0,1,1
"CHMP2A",8318.73468950913,0.305010125011853,0.166428642374529,0,1,1
"UBE2M",4911.54301136128,0.16888843424588,0.141820973197944,0,1,1
"TRIM28",27797.4124142498,0.0451561190469104,0.135438349337666,0,1,1
"METTL26",5490.20632809058,0.368838655149908,0.235346181756362,0,1,1
"YIPF2",1308.13831927849,-0.269597266066039,0.0991544962652715,0,1,1
"ATG4D",1432.61571318944,0.0833130287722862,0.116669478254278,0,1,1
"EIF2S3",12782.1495827099,0.0326913216393925,0.0764570194483399,0,1,1
"TMEM160",731.512885137242,0.19485725464342,0.256087163283315,0,1,1
"ZC3H4",3944.31594794214,-0.0467296575604569,0.0700708405527248,0,1,1
"NPAS1",49.746547840741,-0.0855132130418132,0.211469429699406,0,1,1
"GMFG",13008.1796012105,0.0707948934724888,0.300844886448662,0,1,1
"MAP3K10",645.526758660548,0.235089180642217,0.0944006362045692,0,1,1
"ARHGEF16",731.618144026458,-0.744654939397895,0.272423610077269,0,1,1
"LRRC47",5659.64893493641,-0.328177062496216,0.134618518179674,0,1,1
"SESN2",1292.14183429389,0.0693829215703779,0.131357941156762,0,1,1
"SMPDL3B",35.3132450976129,-0.744775073036407,0.322657146697183,0,1,1
"ATP5IF1",9556.58564271118,0.196300015578785,0.124045483009691,0,1,1
"MED18",1131.87104122598,0.176576306550013,0.138556395177679,0,1,1
"THEMIS2",1267.50912649771,-0.150958998044429,0.158370471197054,0,1,1
"CLIP1",1942.69162937117,-0.284606070144622,0.168409719719211,0,1,1
"CCDC62",40.6713490619393,0.321771258426664,0.144690833991804,0,1,1
"HIP1R",4965.10860063316,0.0887312199549431,0.115616826094438,0,1,1
"ZNF317",1917.44216201875,0.119021086794586,0.0512546579878163,0,1,1
"PPAN",252.432878162605,0.259293599485432,0.138399581900359,0,1,1
"EIF3G",9967.54783501419,0.11678001936102,0.112846366000849,0,1,1
"ANGPTL6",34.6101675998316,-0.129528631804925,0.158000418658462,0,1,1
"SHFL",1523.63728801277,0.239571922420474,0.115778220093603,0,1,1
"DNMT1",6892.699021559,-0.290926759860905,0.119157624795843,0,1,1
"ZNF426",1359.09953493283,-0.0445068233850987,0.0744254083370473,0,1,1
"SLC6A8",9183.21171178527,1.19050547263936,0.216122791942739,0.881468682349023,0.378064197498808,1
"PNCK",1025.74245239191,0.291961991948078,0.299273240638464,0,1,1
"DKC1",3686.11526258927,0.105653693390387,0.085206907658078,0,1,1
"PLXNA3",1900.44696197488,0.66796420435833,0.140112275062363,0,1,1
"DUSP9",604.604748557798,0.49338488740277,0.421843435888759,0,1,1
"MPP1",5480.67704378619,-0.0109795867063242,0.21806150694067,0,1,1
"ZNF331",1386.85285817049,0.0407348465626757,0.126599188289014,0,1,1
"ZNF236",806.511062390615,-0.0872533244949908,0.133398545896686,0,1,1
"SLC7A10",30.5345658083813,-0.447763846746093,0.484197173594924,0,1,1
"LRP3",522.565022423094,0.391853341793976,0.276695080424798,0,1,1
"C12orf65",4756.62410980692,0.0300635848223374,0.184174568267957,0,1,1
"NOL11",2701.87320517491,-0.118551785806594,0.065299121739344,0,1,1
"UBE4B",3088.70703192746,0.0646039538985205,0.07838906113386,0,1,1
"CASZ1",490.616765783084,-0.0668916232461699,0.184286874934424,0,1,1
"PKDREJ",30.7323946386195,-0.633155851581645,0.288544854634868,0,1,1
"HABP4",464.869056505255,0.150387294118339,0.134135703959222,0,1,1
"SLC35D2",149.658236685105,0.0932731068582661,0.121826311725326,0,1,1
"PRRG1",172.395838074836,-0.418107870025077,0.223128051787854,0,1,1
"UBA1",20191.1622701174,0.131371794006208,0.0636415060177396,0,1,1
"RGN",51.7932968317542,0.770055670386904,0.306910844224341,0,1,1
"POLN",50.5251276368733,0.69052377429603,0.20983530275967,0,1,1
"TXLNGY",1259.34583090705,-0.115058714650239,0.660976785500621,0,1,1
"PPIL4",1352.40750619204,-0.191092508441866,0.125832924416345,0,1,1
"ULBP2",14.2169499223104,-0.990170691635884,0.262665546024994,0,1,1
"AKAP12",2988.76958301878,-1.2048173797345,0.342094562919205,-0.598715682549091,0.549362497481219,1
"SYNE1",3728.98439657661,0.833993110536004,0.188919668646863,0,1,1
"ULBP3",88.2177862757207,-0.506284735321668,0.174723026892444,0,1,1
"LATS1",1493.55367957061,-0.379960049745416,0.158042719899034,0,1,1
"EPS8L1",201.20199419104,-0.754300808866569,0.27151315205975,0,1,1
"LILRB2",302.394751563372,-0.211497629497453,0.214565076495432,0,1,1
"AAR2",2743.40121974231,-0.0471570520758605,0.0591260102156255,0,1,1
"TTLL9",9.01717789773251,-0.643499437472674,0.266306729712564,0,1,1
"RBM39",13263.7756147579,0.0200927608144661,0.0557138608901018,0,1,1
"COX4I2",186.423740521993,0.221970299298455,0.277803262879724,0,1,1
"ZNF341",463.097195299537,-0.030230407728693,0.0653486792011648,0,1,1
"GGT7",1449.99480560688,-0.493384049431545,0.145997218986253,0,1,1
"ACSS2",1080.51291607142,-0.103417722384003,0.125807532248634,0,1,1
"EDA2R",459.604578853501,-0.285807612921642,0.209294079046837,0,1,1
"ARHGEF9",1402.70066139163,0.00240094205172575,0.0972819575774947,0,1,1
"C1QL1",53.2942999833274,0.0867713559979124,0.324171081424886,0,1,1
"GFAP",14.067489113273,-0.366924942544019,0.340615813917728,0,1,1
"HIGD1B",55.5866283448569,0.182681971403835,0.187582800726264,0,1,1
